question_number,question,options,correct_option
1,Which of the following drugs is used as basal insulin?,Insulin aspart|Insulin lispro i|Insulin glargine|Insulin glulisine
40,A 66 years old male patient known to be diabetic and hypertensive admitted to the hospital with bronchopneumonia culture revealed Pseudomonas Select the most appropriate b-lactam antimicrobials with antipseudomonal activity.,Cefoxitin|Cefepime|Cefotaxime|Amoxicillin
41,The first-generation cephalosporins differ from the third-generation cephalosporins iv that they are:,More active against gram positive cocci|More active against gram negative bacilli|Better to penetrate through the blood brain barrier.|More active against pseudomonas
42,Typical examples of time-dependent antibiotics are...,Aminoglycosides|Fluoroquinolones|Macrolides|Penicillins
43,Red man syndrome is a side effect of rapid Injection of the following drug,Vancomycin|Clindamycin|Metronidazole|Nafcillin
44,Aminoglycosides have the following unwanted effects:,Pancytopenia|Hepatotoxicity|Ototoxicity nephrotoxicity |Irritation of gastrointestinal mucosa
45,Which of the following antimicrobials inhibits protein synthesis through binding to 50 ribosomal subunits?,Gentamycin|Erythromycin|Tetracycline |Amoxicillin
46,Which of the following cell membrane/cell wall-inhibitors can be given orally or IV in the treatment of prostatitis and UTI?,Daptomycin|Fosfomycin|Bacitracin|Cycloserine
47,Which of the following types of bacteria will NOT be affected by aminoglycosides?,Anaerobes|Gram negatives|Gram positives|TB bacilli
48,Which of the following macrolide has the advantages of once daily dosing and rare drug interactions?,Azithromycin|Clarithromycin|Erythromycin|Fidaxomicin
49,Which of the following quinolone antibiotics is not fluorinated that commonly used as urinary antiseptic:,Ciprofloxacin|Levofloxacin|Nalidixic acid|Moxifloxacin
50,If quinolones are accompanied with NSAID it will produce:,Myocardial infarction|Thromboembolism|Photosensitivity|Seizures
51,A male patient was recently diagnosed to have TB for which several drugs were prescribed in combination. After administration of the drugs he noticed red discoloration of his urine which made him afraid and sought medical advice. The doctor reassured him that this Is just an adverse effect of one of anti-tuberculous drugs. Which of these anti-tuberculous drugs is responsible for that?,Pyrazinamide|Ethambutol|Rifampicin|Streptomycin
52,Which of the following anti tuberculous drugs produces inhibition of HME activity?,Rifampicin|Ethambutol|Pyrazinamide|Isoniazid
53,Combination antiviral treatment of human immune deficiency virus is characterized by which of the following?,Combining three or more agents so as to maximize virological suppression|Lamivudine-fopinavir is the commonest combination.|Toxicities come mainly in the form of cardiovascular side effects.|Treatment is started in a stepwise approach one drug at a time
54,A patient diagnosed with seborrheic dermatitis was prescribed shampoo containing and antifungal. Which of the following is that shampoo likely to contain?,Amphotericin B|Ketoconazole|Nystatin|Terbinafine
55,Development of lipid drug formulation of amphotericin B was done to achieve which of the following?,Better distribution to the site of infection|Increased spectrum of activity|Reduction of infusion reactions|Reduction of renal toxicity
56,Which of the following is a mechanism of action of nystatin?,Binds to ergosterol causing pores in the fungal cell membrane|Inhibits cell wall beta glucan synthesis|Inhibits fungal cytochrome enzyme|Inhibits fungal DNA synthesis
57,Which immune-mediating agent is approved as first-line therapy for hepatitis B virus,Adefovir|Entecavir|Interferon|Tenofovir
58,Adverse effects of primaquine include:,Megaloblastic anemia|Hemolytic anemia with G6PD deficiency|Seizures|Black water fever
59,Which of the following would be effective to treat asymptomatic ameba cyst passers?,Diloxanide|Emetine|Metronidazole|Tetracycline
60,Which of the following is a broad-spectrum anti-helminthic?,Albendazole|Levamisole|Mirazid|Niclosamide
