question_number,question,options,correct_option
3,The vaccine against H. influenzae is:,Live attenuated H. influenzae|Killed H. influenzae|Toxoid derived from H. influenzae|Polysaccharide derived from H. influenzae|Polysaccharide derived from H. influenzae conjugated to a protein,Polysaccharide derived from H. influenzae conjugated to a protein
4,A 2.year-old child came to the emergency room with high fever and breathing difficulty. Clinical investigation revealed inflammatory swelling of the epiglottis. Which of the following organisms is the most likely causative organism?,Haemophilus influenzae|Haemophilus ducreyi|Haemophilus aegyptius|Bordetella pertussis|Neisseria meningitidis,Haemophilus influenzae
5,Chancroid is characterized by the following EXCEPT:,Itis caused by Haemophilus ducreyi.|Itis a sexually-transmitted disease.|It manifests as a genital ulcer.|It is hard and painless.|It is accompanied by enlarged inguinal lymph nodes.,It is hard and painless.
1,The virulence factors of B. pertussis include all the following EXCEPT:,Filamentous haemagglutinin|Pertussis toxin|Invasins|Tracheal cytotoxin|Adenyl cyclase toxin,Invasins
2,Diagnosis of whooping cough cannot be done by:,Direct gram stain|Nucleic acid detection|Direct fluorescent antibody test|Culture on Bordet-Gengou medium|Culture on charcoal blood agar,Direct gram stain
3,DTaP is a vaccine developed from a combination of:,Diphtheria toxoid tetanus toxoid and killed pertussis cells|Tetanus toxoid killed diphtheria bacilli and pertussis toxoid|Diphtheria toxoid killed C!. tetani and pertussis toxoid|Diphtheria toxoid tetanus toxoid and pertussis toxoid|Killed bacilli of C. diphtheriae Cl. tetani and B. pertussis,Diphtheria toxoid tetanus toxoid and pertussis toxoid
1,Regarding Brucella one of the following statements is correct:,Brucella species are transmitted primarily by tick bite.|The principal reservoirs of brucellae are small rodents.|Brucellae localize in the reticuloendothelial system and often cause granulomatous lesions.|Brucellae are obligate intracellular parasites that grow only in human cell culture.|Brucellae cannot grow on ordinary media.,Brucellae localize in the reticuloendothelial system and often cause granulomatous lesions.
2,The following methods can be used for the diagnosis of brucellosis EXCEPT:,Blood culture|Standard tube agglutination test (STAT) for total antibody (IgG + IgM)|Widal test|Brucellin test|ELISA for IgG or IgM,Widal test
3,Regarding the standard tube agglutination test (STAT) for diagnosis of brucellosis all the following statements are true EXCEPT:,A prozone effect is commonly encountered|A wide range of serum dilutions should be done|It detects antibodies to Brucella abortus only|Blocking antibodies may give false negative results|A titer of 160 or more is diagnostic for brucellosis,It detects antibodies to Brucella abortus only
4,Fever of unknown origin in a farmer who raises goats would most likely be caused by:,S. aureus|Clostridium difficile|Brucella melitensis|Mycobacterium tuberculosis|Salmonella Typhi,Brucella melitensis
1,Legionnaires disease is a form of:,Food poisoning|Sexually transmitted disease|Atypical bacterial pneumonia|Meningitis|Neonatal infection,Atypical bacterial pneumonia
2,Rapid diagnosis of Legionnaire's disease can be provided by antigen detection in:,Blood|Serum|Stools|Urine|CSF,Urine
1,Peritonitis caused by B. fragilis is acquired:,Faeco-orally|By ingestion of contaminated food|As a complication of food poisoning|As an endogenous infection|By a puncture wound,As an endogenous infection
2,Which of the following is correct about B. fragilis:,It is the most likely organism to cause gastroenteritis following antibiotic treatment|Itis sensitive to penicillin|Itis the predominant organism in the human gastrointestinal tract|It may cause flaccid paralysis which may lead to respiratory arrest|Itis the most common organism causing urinary tract infection,Itis the predominant organism in the human gastrointestinal tract
3,Fusobacterium contributes to the pathogenesis of:,Acne vulgaris|Necrotizing fasciitis|Bacterial vaginosis|Vincent's angina|Honeymoon cystitis,Vincent's angina
1,M. tuberculosis can be isolated by culture on:,Blood agar|Loeffler's serum|Modified Thayer-Martin|Thiosulfate citrate bile salt sucrose (TCBS) agar|Lowenstein-Jensen medium,Lowenstein-Jensen medium
2,As regards the diagnosis of tuberculosis the following are correct EXCEPT:,Three morning sputum samples should be examined|Tuberculin test may give false positive and false negative results|Detection of acid-fast bacilli in smears provides early presumptive diagnosis|Liquefaction of tenacious samples is required before culture|Growth on Lowenstein-Jensen medium appears after 48-72 hours,Growth on Lowenstein-Jensen medium appears after 48-72 hours
3,Regarding tuberculin test:,It depends on immediate hypersensitivity.|It depends on presence of sensitized Th2 cells.|A wheal and flare is considered positive.|People vaccinated with BCG give a negative result.|Itis read after 48-72 hours.,Itis read after 48-72 hours.
4,Treatment of tuberculous disease:,Is initiated with a single first line chemotherapeutic agent|Usually requires prolonged bed rest and surgery|Is continued until tuberculin test reverts to negative|Always results in negative sputum cultures and clinical cure within 3 weeks|Always necessitates the use of combined prolonged drug therapy,Always necessitates the use of combined prolonged drug therapy
5,BCG vaccine used for the prevention of tuberculosis is:,Heat killed vaccine|Formalin inactivated vaccine|Living attenuated vaccine|Recombinant vaccine|Bacterial toxoid prepared from M. tuberculosis,Living attenuated vaccine
6,Which of the following organisms cannot be grown on artificial media?,S. pyogenes|S. epidermidis|K. pneumoniae|Salmonella Typhi|M. leprae,M. leprae
7,Tuberculoid leprosy has the following features EXCEPT:,Lepromin test is positive.|The course of the disease is benign.|Cell-mediated immunity is intact.|Acid fast bacilli are few in tissue smears.|Th2-type response is dominant.,Th2-type response is dominant.
1,All the following statements about primary syphilis are correct EXCEPT:,It manifests as a painless ulcer.|The characteristic lesion contains no organisms.|It can be diagnosed serologically during the late stage.|Itis caused by Treponema pallidum.|It can be treated by penicillin.,The characteristic lesion contains no organisms.
2,Direct detection of T. pallidum cannot be done from:,Chancre|Mucous patches|Chondyloma lata|Gumma of internal organs|Any of the above,Gumma of internal organs
3,One of the following is a non-treponemal test:,The fluorescent treponemal antibody absorption|T. pallidum haemaggiutination assay|The rapid plasma reagin test|The Western blot|The EIA,The rapid plasma reagin test
4,Borrelia recurrentis:,Is the causative organism of epidemic typhus|Can be detected in blood films after staining with Giemsa stain|Can be grown on simple media|Is an antigenically stable organism|Is transmitted among individuals by ticks,Can be detected in blood films after staining with Giemsa stain
5,Weil's disease (infectious jaundice) is caused by:,Rickettsia typhi|Borrelia recurrentis|Coxiella burnetii|Leptospira interrogans|Borrelia burgdorferi,Leptospira interrogans
6,Regarding Vincent' angina all the following statements are correct EXCEPT:,Itis an infection of the pharynx.|It is caused by oral spirochaetes and fusiform bacilli.|Itis characterized by the formation of a pseudomembrane.|It may occur following viral infections e.g. HSV.|The causative organism(s) cannot be stained by Gram stain.,The causative organism(s) cannot be stained by Gram stain.
1,Mycoplasma species are characterized by all of the following EXCEPT:,M. pneumoniae is one of the causes of atypical pneumonia.|Some species are transmitted sexually.|They are best treated with penicillin.|They are unstainable by Gram stain but readily stainable by Giemsa stain.|They are the only organism that contains sterol in the cell membrane.,They are best treated with penicillin.
2,The lack of cell wall in Mycoplasma renders the organism:,Soluble in bile|Unstainable by Giemsa stain|Variable in shape|Unable to grow in cell-free culture media|Resistant to quinolones,Variable in shape
3,Mycoplasma differs from Chlamydia in that they are:,Susceptible to penicillin|Able to grow on artificial cell-free media|Able to cause non-gonococcal urethritis|Able to stain well with Gram-stain|Able to cause disease in humans,Able to grow on artificial cell-free media
1,The following statements concerning Chlamydia are correct EXCEPT:,They are obligate intracellular parasites because they cannot synthesize sufficient energy.|They possess both DNA and RNA and are bounded by a cell wall.|C. trachomatis has multiple serotypes but C. psittaci has only one serotype.|Some chlamydiae are transmitted by arthropods.|They multiply by binary fission.,Some chlamydiae are transmitted by arthropods.
2,What is the metabolically inert infective form of chlamydia that can survive extracellularly?,Reticulate body|Virion body|Elementary body|Inclusion body|Negri body,Elementary body
3,The following diseases are caused by Chlamydia trachomatis EXCEPT:,Non-gonococcal urethritis|Psittacosis|Trachoma|Lymphogranuloma venereum|Inclusion conjunctivitis,Psittacosis
1,Arthropods are vital in transmission of:,Mycoplasma|Chlamydia|Treponema|Rickettsia|Coxiella,Rickettsia
2,Rickettsia are characterized by one of the following:,They are small extracellular bacilli.|They can be grown on artificial media.|They are maintained in nature by arthropod transmission.|They include only one species of medical importance.|They cannot be treated by antibiotics.,They are maintained in nature by arthropod transmission.
3,The following statements concerning epidemic typhus are correct EXCEPT:,The disease is caused by Rickettsia prowazekii.|The causative organism is transmitted from rodents to humans by ticks.|The disease is characterized by fever and skin rash.|The causative organism infects the vascular endothelial cells.|Tetracycline is the drug of choice.,The causative organism is transmitted from rodents to humans by ticks.
1,C. bumetii is mainly transmitted by:,Ingestion of milk|Contact|Mosquito bites|Mite bite|Tick bite,Ingestion of milk
2,Coxiella burnetii:,Is a type of extracellular bacteria|Has no reservoir other than humans|Causes a clinical condition called Q fever|Causes pneumonia only|Is easily stained by Gram stain,Causes a clinical condition called Q fever
1,The medical importance of Streptomyces is that:,tis used to test the autoclave efficiency.|It produces a large number of antibiotics.|Itis an indicator of faecal pollution of water.|It has a probiotic effect.|Itis a major part of the normal flora of the skin.,It produces a large number of antibiotics.
2,Pus containing sulphur granules is probably caused by:,C. bumetti|R. prowazekii|Actinomyces israelii|Candida albicans|Chlamydia,Actinomyces israelii
3,Nocardia astroides causes the following infections EXCEPT:,Pulmonary infection|Brain abscess|Cutaneous infection|Regional lymphadenitis|Genital infection,Genital infection
