question_number,question,options,correct_option
2c,HPV 16 and 18 are high-risk types,True|False,True
1,RNA tumour viruses include:,Hepatitis B virus|Adenoviruses|Hepatitis C virus|Poxyviruses|Human papillomavirus,Hepatitis B virus
2,All the following are DNA tumour viruses EXCEPT:,Adenoviruses|Human papillomavirus|Hepatitis B virus|Hepatitis A virus|Epstein Barr virus,Hepatitis A virus
1,Prions:,Contain DNA as genetic element|May cause infections involving the upper respiratory tract|Are easily inactivated by low concentrations of disinfectants|Cause degenerative diseases of the nervous system|Cause diseases characterized by short incubation period,Cause degenerative diseases of the nervous system
2,Mad cow disease is caused by:,A prion|A virus|Rickettsiae|An autoimmune reaction|A bacterium with a defective cell wall,A prion
1,Which medium would be recommended for culturing a CSF specimen for fungi:,Loeffler's serum medium|Blood agar|Modified Thayer-Martin medium|Sabouraud's dextrose agar|Lowenstein-Jensen medium,Sabouraud's dextrose agar
2,All of the following is correct about Candida albicans EXCEPT:,It causes oral thrush.|It is a yeast fungus that replicates by budding.|It produces germ tube in serum at 37°C after 2 hours.|It produces chlamydospores on corn meal agar.|It produces septate hyphae at 22°C.,It produces septate hyphae at 22°C.
3,Cryptococcus neoformans has the following properties EXCEPT:,The organism is present in the soil contaminated with excreta of birds.|Infection occurs by inhalation resulting in cryptococcal pneumonia.|The organism has a thick capsule surrounding the budding yeast cell.|Secreted aflatoxin is hepatotoxic and carcinogenic.|In cases of meningitis capsular antigen can be detected in CSF.,Secreted aflatoxin is hepatotoxic and carcinogenic.
1,Regarding members of the normal flora all of the following statements are true EXCEPT:,Transient colonization can be promptly reestablished when disturbed.|They may cause infections if they change their normal habitat.|Through bacterial interference they prevent colonization of pathogens.|They may produce disease by superinfection mechanism.|They synthesize vitamin K in the intestine.,Transient colonization can be promptly reestablished when disturbed.
2,Regarding the important members of normal flora at different body sites which of the following pairs is mis-matched:,Skin.............S. epidermidis|Nose.........S. aureus|Throat...Viridans streptococci|Colon.Bacteroides|Vagina..E. coli,Vagina..E. coli
1,One of the following organisms is a spore-forming anaerobe:,Lactobacilli|Bacteroides|Clostridium|Fusobacterium|Actinomyces,Clostridium
2,Anaerobes include all of the following EXCEPT:,Clostridium|Treponema|Bacteroides|Neisseria|Fusobacterium,Neisseria
3a,Obligate anaerobes grow better in absence of oxygen,True|False,False
3b,Many of the medically important anaerobes can cause endogenous infections,True|False,True
3c,When anaerobic infection is suspected the sample should be: i- Taken after initiation of antibiotic therapy that kills aerobic organisms,True|False,False
ii,Taken as deep as possible away from atmospheric oxygen,True|False,True
iii,Taken as much as possible,True|False,True
iv,Taken in a closed test tube or a closed container,True|False,True
v,Transported to the laboratory within 2-5 days,True|False,False
vi,Kept refrigerated for 2-5 days,True|False,False
vii,Cultured and incubated anaerobically for 2-5 days,True|False,True
1,Neonatal meningitis Is frequently caused by:,Enteroinvasive E. coli|E. coliK1|E. coliO157:H7|K. rhinoscleromatis|K. ozaenae,E. coliK1
2,One of the causes of sterile pyuria Is:,Renal tuberculosis|Urine contamination|Antibiotic-resistant bacteria|Bacteriocin-producing E. coli|Appropriate methods of sterilization,Renal tuberculosis
3,Each of the following agents is a recognized cause of diarrhoea EXCEPT:,Clostridium perfringens|Enterococcus faecalis|Shigella dysenteriae|Vibrio cholerae|Campylobacter jejuni,Enterococcus faecalis
4,Food poisoning is caused by the following EXCEPT:,Clostridium botulinum|Clostridium perfringens|Bacillus cereus|Salmonella Typhi|Staphylococcus aureu,Salmonella Typhi
5,The following organisms cause primary atypical pneumonia EXCEPT:,Chlamydophila pneumoniae|Mycobacterium tuberculosis|Legionella pneumophila|Mycoplasma pneumoniae|Coxiella burnetii,Mycobacterium tuberculosis
6,Pyrexia of undetermined origin (PUO) may be due to any of the following bacterial diseases EXCEPT:,Tuberculosis|Typhoid|Leptospirosis|Rift valley fever|Brucellosis,Rift valley fever
1,One of the following can be transmitted sexually but does not cause genital lesions:,Treponema pallidum|Hepatitis B virus|Chlamydia trachomatis|Herpes simplex virus|Haemophilus ducreyii,Hepatitis B virus
2,Transplacental infections are caused by the following EXCEPT:,Varicella-Zoster virus|Cytomegalovirus|Rubella virus|Haemophilus ducreyii|Treponema pallidum,Haemophilus ducreyii
3,The following organisms have animal reservoirs EXCEPT:,Brucella melitensis|Yersinia pestis|Bordetella pertussis|Bacillus anthracis|Campylobacter jejuni,Bordetella pertussis
4,Pathogens excreted in milk from diseased animals include all the following EXCEPT:,Mycobacterium bovis|Brucella abortus|Brucella melitensis|Vibrio cholerae|Coxiella burnetii,Vibrio cholerae
5,All of the following viruses can be transmitted by blood transfusion EXCEPT:,Cytomegalovirus|Rubella virus|Hepatitis viruses B C & D|HiVtypes 1&2|Epstein-Barr virus,Rubella virus
1,The most common organisms causing hospital-acquired infections (HAls) include all the following EXCEPT:,Staphylococcus aureus|Klebsiella pneumoniae|Streptococcus pyogenes|Escherichia coli|Pseudomonas aeruginosa,Streptococcus pyogenes
2,Hospitalized patients Infected with a multidrug resistant organism such as MRSA:,Must be isolated in negative pressure room|Must be placed in an ordinary single room|Can be placed in a ward with other patients|Must be sent home immediately to avoid infecting others|Can be examined by staff not wearing gloves or gown,Must be placed in an ordinary single room
3,Precautions applied to a patient with pulmonary tuberculosis include:,Standard precautions only|Standard precautions and airborne precautions|Standard precautions and droplet precautions|Standard precautions and contact precautions|No precautions are required,Standard precautions and airborne precautions
4a,Healthcare-associated infections are defined as infections acquired by a patient within 24 hours after admission,True|False,False
4b,The wide use of antibiotics in hospitals is a major factor that reduces HAls.,True|False,False
4c,Diseases transmitted by droplets include influenza mumps rubella pertussis and tuberculosis.,True|False,False
4d,Standard precautions are a set of infection control practices that should be applied to all patients regardless of their infection status.,True|False,True
4f,Airborne precautions include wearing N95 mask.,True|False,True
1,The disease conditions in which human carriers play an Important role include all of the following EXCEPT:,Enteric fever|Cholera|Diphtheria|Plague|Hepatitis B virus infection,Plague
2,Agents in the highest risk category as causes for bioterrorism include the following EXCEPT:,Anthrax|Smallpox|Botulism|Diphtheria|Viral haemorrhagic fever,Diphtheria
3,Diseases in which microscopic examination is sufficient for diagnosis include the following EXCEPT:,Leprosy|Tuberculosis|Bacterial vaginosis|Vincent angina|Acute male gonorrhoea,Tuberculosis
